Variables in Fontenla Model 1001
Height, cm        Temperature, K    Electron density  Proton density    Hydrogen density  Gas pressure     
1.25e+07          5.20e+03          6.14e+12          5.97e+11          5.92e+16          8.50e+04          
1.00e+07          5.33e+03          7.88e+12          1.23e+12          7.01e+16          1.03e+05          
7.50e+06          5.50e+03          1.06e+13          2.74e+12          8.20e+16          1.25e+05          
5.00e+06          5.73e+03          1.62e+13          6.85e+12          9.44e+16          1.49e+05          
3.50e+06          5.90e+03          2.24e+13          1.22e+13          1.02e+17          1.66e+05          
2.00e+06          6.10e+03          3.33e+13          2.21e+13          1.09e+17          1.84e+05          
9.50e+05          6.26e+03          4.57e+13          3.38e+13          1.14e+17          1.97e+05          
-7.00e+04         6.44e+03          6.47e+13          5.21e+13          1.18e+17          2.10e+05          
-1.00e+06         6.64e+03          9.40e+13          8.07e+13          1.21e+17          2.22e+05          
-2.00e+06         6.91e+03          1.51e+14          1.37e+14          1.23e+17          2.36e+05          
-3.00e+06         7.22e+03          2.52e+14          2.37e+14          1.25e+17          2.50e+05          
-4.00e+06         7.55e+03          4.17e+14          4.01e+14          1.26e+17          2.64e+05          
-5.00e+06         7.89e+03          6.73e+14          6.55e+14          1.26e+17          2.78e+05          
-6.00e+06         8.23e+03          1.05e+15          1.03e+15          1.27e+17          2.93e+05          
-7.00e+06         8.57e+03          1.57e+15          1.55e+15          1.27e+17          3.07e+05          
-8.00e+06         8.89e+03          2.24e+15          2.22e+15          1.27e+17          3.23e+05          
-9.00e+06         9.17e+03          3.00e+15          2.98e+15          1.28e+17          3.39e+05          
-1.00e+07         9.41e+03          3.81e+15          3.79e+15          1.29e+17          3.55e+05          
