100
-7900000.0   200000000.0   2100000.0   
+9.08000e+07   4.69632e-17   7.38114e-14   8.22012e-11   2.49214e-01   6.12101e-01   3.43353e+01   
+9.29000e+07   5.62410e-17   9.32560e-14   6.67588e-11   2.49212e-01   6.07295e-01   3.00497e+01   
+9.50000e+07   7.47628e-17   1.28343e-13   5.58803e-11   2.49208e-01   6.00920e-01   2.65214e+01   
+9.71000e+07   9.21350e-17   1.61524e-13   4.78482e-11   2.49203e-01   5.92580e-01   2.35371e+01   
+9.92000e+07   1.05533e-16   1.86753e-13   4.17696e-11   2.49197e-01   5.82560e-01   2.09588e+01   
+1.01300e+08   1.12106e-16   1.99849e-13   3.66698e-11   2.49191e-01   5.71438e-01   1.87021e+01   
+1.03400e+08   1.13693e-16   2.03921e-13   3.23047e-11   2.49184e-01   5.59821e-01   1.67177e+01   
+1.05500e+08   1.15303e-16   2.08076e-13   2.84593e-11   2.49178e-01   5.47968e-01   1.49695e+01   
+1.07600e+08   1.14359e-16   2.06634e-13   2.54380e-11   2.49171e-01   5.36037e-01   1.34189e+01   
+1.09700e+08   1.12636e-16   2.03469e-13   2.28408e-11   2.49165e-01   5.24238e-01   1.20299e+01   
+1.11800e+08   1.10939e-16   2.00353e-13   2.05087e-11   2.49158e-01   5.12620e-01   1.07827e+01   
+1.13900e+08   1.09267e-16   1.97285e-13   1.84148e-11   2.49152e-01   5.01180e-01   9.66292e+00   
+1.16000e+08   1.06327e-16   1.92162e-13   1.65248e-11   2.49146e-01   4.89976e-01   8.65770e+00   
+1.18100e+08   1.02097e-16   1.84947e-13   1.48190e-11   2.49140e-01   4.79126e-01   7.75594e+00   
+1.20200e+08   9.80362e-17   1.78002e-13   1.32893e-11   2.49134e-01   4.68684e-01   6.94727e+00   
+1.22300e+08   9.41367e-17   1.71318e-13   1.19175e-11   2.49129e-01   4.58634e-01   6.22207e+00   
+1.24400e+08   9.08337e-17   1.65614e-13   1.06806e-11   2.49123e-01   4.48941e-01   5.57192e+00   
+1.26500e+08   8.94801e-17   1.63128e-13   9.54632e-12   2.49118e-01   4.39483e-01   4.98999e+00   
+1.28600e+08   8.81467e-17   1.60679e-13   8.53252e-12   2.49113e-01   4.30167e-01   4.46986e+00   
+1.30700e+08   8.68331e-17   1.58267e-13   7.62638e-12   2.49108e-01   4.20991e-01   4.00497e+00   
+1.32800e+08   8.55391e-17   1.55892e-13   6.81647e-12   2.49103e-01   4.11952e-01   3.58945e+00   
+1.34900e+08   8.41566e-17   1.53395e-13   6.10577e-12   2.49098e-01   4.03054e-01   3.21768e+00   
+1.37000e+08   8.26554e-17   1.50731e-13   5.48497e-12   2.49093e-01   3.94305e-01   2.88421e+00   
+1.39100e+08   8.11809e-17   1.48114e-13   4.92729e-12   2.49089e-01   3.85707e-01   2.58465e+00   
+1.41200e+08   7.97327e-17   1.45543e-13   4.42631e-12   2.49084e-01   3.77258e-01   2.31555e+00   
+1.43300e+08   7.83103e-17   1.43016e-13   3.97627e-12   2.49079e-01   3.68956e-01   2.07381e+00   
+1.45400e+08   7.69134e-17   1.40533e-13   3.57198e-12   2.49075e-01   3.60799e-01   1.85664e+00   
+1.47500e+08   7.56171e-17   1.38198e-13   3.19732e-12   2.49070e-01   3.52780e-01   1.66189e+00   
+1.49600e+08   7.43725e-17   1.35943e-13   2.85786e-12   2.49066e-01   3.44893e-01   1.48768e+00   
+1.51700e+08   7.31484e-17   1.33725e-13   2.55444e-12   2.49062e-01   3.37134e-01   1.33197e+00   
+1.53800e+08   7.19445e-17   1.31544e-13   2.28324e-12   2.49058e-01   3.29503e-01   1.19279e+00   
+1.55900e+08   7.07603e-17   1.29398e-13   2.04083e-12   2.49054e-01   3.21995e-01   1.06839e+00   
+1.58000e+08   6.04863e-17   1.10728e-13   9.85711e-13   2.49050e-01   3.15087e-01   9.81315e-01   
+1.60100e+08   6.79079e-17   1.24220e-13   1.63788e-12   2.49046e-01   3.08327e-01   9.05834e-01   
+1.62200e+08   6.62611e-17   1.21227e-13   1.47062e-12   2.49042e-01   3.01266e-01   8.16402e-01   
+1.64300e+08   6.46542e-17   1.18306e-13   1.32045e-12   2.49039e-01   2.94375e-01   7.36103e-01   
+1.66400e+08   6.30862e-17   1.15455e-13   1.18561e-12   2.49035e-01   2.87649e-01   6.64004e-01   
+1.68500e+08   6.15563e-17   1.12673e-13   1.06454e-12   2.49031e-01   2.81086e-01   5.99267e-01   
+1.70600e+08   6.00617e-17   1.09957e-13   9.56796e-13   2.49028e-01   2.74681e-01   5.41113e-01   
+1.72700e+08   5.85988e-17   1.07300e-13   8.62111e-13   2.49024e-01   2.68430e-01   4.88783e-01   
+1.74800e+08   5.71715e-17   1.04708e-13   7.76796e-13   2.49021e-01   2.62331e-01   4.41632e-01   
+1.76900e+08   5.57790e-17   1.02179e-13   6.99924e-13   2.49018e-01   2.56379e-01   3.99146e-01   
+1.79000e+08   5.44204e-17   9.97102e-14   6.30659e-13   2.49015e-01   2.50570e-01   3.60865e-01   
+1.81100e+08   5.30949e-17   9.73014e-14   5.68249e-13   2.49012e-01   2.44902e-01   3.26373e-01   
+1.83200e+08   5.19954e-17   9.53042e-14   5.10735e-13   2.49008e-01   2.39361e-01   2.95330e-01   
+1.85300e+08   5.27566e-17   9.67019e-14   4.48256e-13   2.49005e-01   2.33837e-01   2.67740e-01   
+1.87400e+08   5.36872e-17   9.83779e-14   3.92366e-13   2.49002e-01   2.28225e-01   2.43556e-01   
+1.89500e+08   5.87879e-20   1.01165e-13   2.07066e-13   2.49001e-01   2.22484e-01   2.26310e-01   
+1.91600e+08   8.48188e-24   9.77760e-14   9.75426e-14   2.49001e-01   2.16760e-01   2.17546e-01   
+1.93700e+08   2.96864e-23   4.51431e-14   4.15267e-14   2.49001e-01   2.12649e-01   2.13545e-01   
+1.95800e+08   6.24904e-18   9.70121e-15   9.70649e-15   2.49001e-01   2.11071e-01   2.12071e-01   
+1.97900e+08   6.33707e-18   9.84069e-15   9.84605e-15   2.49000e-01   2.10508e-01   2.11509e-01   
+2.00000e+08   5.05659e-18   7.83294e-15   7.83721e-15   2.49000e-01   2.10000e-01   2.11000e-01   
